t,logret_pct,split
0,4.658819365441862,train
1,5.474717657129694,train
2,5.197365070563206,train
3,2.780092236032376,train
4,-0.32803075657578257,train
5,-0.1887734190023891,train
6,-0.7734592757559933,train
7,2.406453096544179,train
8,3.3984893263495066,train
9,1.641407342373758,train
10,1.2100250073559964,train
11,0.003503868892877637,train
12,0.6284955644594206,train
13,1.6825100800650563,train
14,2.9912932644074557,train
15,5.497197825562618,train
16,4.0616712999735896,train
17,3.204153644084794,train
18,1.6621018342230787,train
19,0.6954388304164469,train
20,1.2652734231749723,train
21,0.6987843320730945,train
22,0.26704541234306456,train
23,-1.6031943167900293,train
24,-1.0146683294841574,train
25,-0.08194250295829723,train
26,0.08152509379300614,train
27,0.8455057414147165,train
28,0.19193390242687977,train
29,0.7768378778508368,train
30,0.7738995240914776,train
31,0.07814499332481135,train
32,-1.5071742292071824,train
33,-3.778899377888774,train
34,-4.893265323696119,train
35,-4.398222240679056,train
36,-2.825818121409081,train
37,-1.4393189588727575,train
38,-1.588070541144594,train
39,-1.1652221775647298,train
40,-0.6130824833179677,train
41,-1.1380713927058557,train
42,-2.668257221291208,train
43,-1.1365758930516032,train
44,-0.5406675007391508,train
45,-0.45496495029216605,train
46,-0.68619829121407,train
47,0.07595626394738694,train
48,1.7040970475901744,train
49,5.2269592748954725,train
50,3.602589420773815,train
51,3.016785824165433,train
52,1.4890746069831933,train
53,-2.759276685040215,train
54,-2.1601597948430205,train
55,-0.07990987460209878,train
56,-0.12006386062274255,train
57,-0.38558577931498417,train
58,-1.2239638641477213,train
59,-1.9955277048567481,train
60,-1.2986328124718372,train
61,-0.0750729911140193,train
62,1.0208512253551125,train
63,1.4289116569240696,train
64,2.4750469229011527,train
65,0.8157706754257199,train
66,0.14119382487843105,train
67,0.5775693983427292,train
68,1.37184843901948,train
69,0.29609706456077933,train
70,-0.8163911915242775,train
71,-0.5283372506005387,train
72,-0.08017336958735699,train
73,0.28572342874410445,train
74,0.7744010215215352,train
75,-0.046834427348661126,train
76,-0.2712859182843115,train
77,0.6211191651120592,train
78,2.023556388068236,train
79,4.713239464530167,train
80,2.229699147921596,train
81,0.2559888432495907,train
82,-0.26904517538546613,train
83,1.0876018664375224,train
84,0.7046570679999326,train
85,1.1759710598951236,train
86,0.30372231585430304,train
87,0.06506672142935806,train
88,0.7020492154625113,train
89,2.5411050500400307,train
90,2.56615793826631,train
91,1.6599659325079155,train
92,0.8272039126603606,train
93,0.6004452922671712,train
94,1.2334914534362502,train
95,1.7378501218190598,train
96,1.0120173165461779,train
97,-1.0227744124273241,train
98,-0.942344894991507,train
99,-0.9751021754826535,train
100,0.024506197018820505,train
101,0.48819254266780404,train
102,1.4462477859950225,train
103,-0.02105589196651982,train
104,-1.01316529480285,train
105,-0.6311922681488089,train
106,-1.6644304984303007,train
107,-2.485816866632858,train
108,-2.0163511291772336,train
109,0.13054661317178812,train
110,0.06769467239600044,train
111,1.0872670021055404,train
112,0.7780680125053672,train
113,0.4214149980263409,train
114,2.6714621391678475,train
115,2.988139408339023,train
116,0.5195819315335596,train
117,-1.4992131352763107,train
118,-2.7092847762571717,train
119,-2.0294495100461076,train
120,-1.1370431953742075,train
121,2.1971049033954397,train
122,0.9472907961174537,train
123,0.8419784399851862,train
124,-0.6322451763671721,train
125,0.1308639706068407,train
126,0.8427138068645488,train
127,-0.09311255287093306,train
128,-1.5525695718146637,train
129,-0.9364381728636345,train
130,-0.017397271893649438,train
131,-1.7953945384550154,train
132,-5.0999875574644316,train
133,-3.2787184077295044,train
134,0.4498149744400914,train
135,0.7513601334302271,train
136,-0.14045155648086963,train
137,-2.1423199460933953,train
138,0.45063095464355823,train
139,0.7430252205694444,train
140,2.134217589511528,train
141,1.8758882975714035,train
142,2.5740086831756255,train
143,3.48604885106768,train
144,-0.03783645897206274,train
145,-0.11421616345241524,train
146,0.2028097688424105,train
147,1.055593385671488,train
148,-0.05937423824414033,train
149,1.1811705580884724,train
150,1.0783008595532195,train
151,0.004159873101006705,train
152,-1.4565856734000042,train
153,0.9718985008714778,train
154,-0.3504190641231608,train
155,-1.5926267338634434,train
156,-1.089358634328071,train
157,0.02554946868013126,train
158,-0.8271890278257152,train
159,0.6315781117680894,train
160,2.8528947802463853,train
161,0.5023945817764901,train
162,-2.044025735808353,train
163,-0.649340773463389,train
164,1.77346410930312,train
165,1.9165341088904577,train
166,1.330452050146977,train
167,3.4930876449674484,train
168,3.8547922735647435,train
169,1.3771997332179864,train
170,0.7248689004358471,train
171,-2.9244114173857203,train
172,-3.3336397424659054,train
173,-2.818928329919316,train
174,-1.1431493345871675,train
175,0.09998095230474348,train
176,3.3742200540800695,train
177,2.7927006549185034,train
178,1.614496090654036,train
179,0.13656356448971976,train
180,1.4663711885568511,train
181,0.31880741295285764,train
182,2.8011167739124554,train
183,1.2746782649662667,train
184,-0.4963704268728779,train
185,-1.6194487632944707,train
186,-1.5523776888991885,train
187,-5.089807987964661,train
188,-4.360589368548223,train
189,-5.628509564979814,train
190,-2.928554368397863,train
191,-3.057510804031992,train
192,-3.530342958277498,train
193,-3.8056878871740203,train
194,-5.327162185622275,train
195,-1.8201624047463778,train
196,0.028416151574299827,train
197,0.30044020115632963,train
198,0.13111605064430804,train
199,1.9557420234142087,train
200,0.11337139891447355,train
201,1.350170745215725,train
202,0.695566585259334,train
203,1.873024382368433,train
204,3.1750025526698478,train
205,-0.08997238284479409,train
206,-1.358067762854725,train
207,0.5181496326847582,train
208,2.88049785441301,train
209,1.1450610368273815,train
210,0.6650965294439504,train
211,-2.8148778313692264,train
212,-2.7840656627381475,train
213,2.782751255292503,train
214,3.074958638663506,train
215,1.2146844898849576,train
216,1.9795126039428468,train
217,0.5699087778544848,train
218,-3.0021478809459414,train
219,-2.983582478727223,train
220,-5.098738175723101,train
221,-2.813266881520111,train
222,0.2682047425223789,train
223,-1.6895211858609285,train
224,-3.579107056803853,train
225,-2.8355911779823977,train
226,-0.33404760352676854,train
227,0.9315773346453806,train
228,2.6256795016880954,train
229,4.401142384009627,train
230,0.8580142503140389,train
231,-0.5339473606289996,train
232,0.85595213031446,train
233,1.8095782861878997,train
234,0.7722623991420381,train
235,1.5756862645726961,train
236,2.0992982606037,train
237,4.049859604414483,train
238,2.0355440739186723,train
239,0.015102204022133489,train
240,-0.4579310713321539,train
241,-0.9295389568648764,train
242,-1.6740725715982687,train
243,-0.8816627171234415,train
244,-0.16696002991111078,train
245,1.2289108767455283,train
246,0.9612061105625491,train
247,-0.2543873368326322,train
248,-1.523270148569809,train
249,-0.9013295338399399,train
250,-1.597418144689527,train
251,-2.2368493354352483,train
252,-1.3747871708461261,train
253,2.303308626497974,train
254,1.3435560860522175,train
255,-0.6717816695138611,train
256,-1.1126621767970717,train
257,-3.018176734696212,train
258,-1.8289747840138668,train
259,0.11345933233762835,train
260,1.6851501367361348,train
261,0.07978952550406632,train
262,-0.17118227892119212,train
263,-0.8162333808426165,train
264,0.8368867482344271,train
265,1.1167870538288578,train
266,0.5804222322399122,train
267,1.726783000119171,train
268,1.354652218330607,train
269,-0.5150315309930246,train
270,-1.2103290735459742,train
271,-0.6522874384138535,train
272,0.7691729495536219,train
273,1.4961276691981076,train
274,0.40247899656743313,train
275,0.8801129708551129,train
276,1.564011926881449,train
277,0.6003143006188536,train
278,-0.30000293316278376,train
279,-1.1319211492586347,train
280,0.4837855559465043,train
281,0.10081141151977173,train
282,-0.7931002136861278,train
283,-0.030122791595309912,train
284,2.28820310072743,train
285,2.376038496900091,train
286,0.05869471074127262,train
287,-0.6526878322805615,train
288,0.05116662709096888,train
289,0.3618027924758913,train
290,0.23446857958720255,train
291,-0.9768771896873757,train
292,0.5182953287191568,train
293,1.7769156047357058,train
294,3.014607289654193,train
295,1.1806950344292226,train
296,1.7759984466373273,train
297,1.2815747162167324,train
298,1.8478764874749336,train
299,1.582726498618746,train
300,-0.45256267400962025,train
301,-1.4416356141068845,train
302,-1.1195449689272554,train
303,0.21954279654608677,train
304,1.9067944020177494,train
305,2.758199098780214,train
306,3.002083575312071,train
307,1.8689286991243388,train
308,1.1257677157898016,train
309,-0.46708761173845753,train
310,-0.9391158379085631,train
311,-0.6055935523549821,train
312,-1.729433003918151,train
313,-2.7864600371633297,train
314,-1.544647377294407,train
315,-1.6822404983491128,train
316,1.047765560173596,train
317,-0.18805666286140763,train
318,0.710226199520666,train
319,2.4833695439036187,train
320,2.1637363163457435,train
321,-0.19744246125355117,train
322,-0.3519012263747775,train
323,0.375463996361052,train
324,-0.04967428547064031,train
325,0.26376352815931764,train
326,-1.1035798321876737,train
327,-3.1859356120001276,train
328,-1.16969372661764,train
329,-0.007171982350768836,train
330,-0.8062167799788822,train
331,-0.9576734009293226,train
332,-1.0537395703266272,train
333,-0.6028766310690983,train
334,0.8497415796529538,train
335,1.7995622347363431,train
336,1.5685683417259673,train
337,0.5592345652598361,train
338,-1.212991483337086,train
339,-0.09488092755029312,train
340,3.460003250257416,train
341,2.53954523097732,train
342,1.8829253614227448,train
343,0.3172210866968314,train
344,0.9685611484175414,train
345,-1.3219353988204852,train
346,-0.28584298515277246,train
347,1.7794001368868075,train
348,1.0087195353048057,train
349,0.23100612590498562,train
350,-1.431409610713326,train
351,-0.8860242825433151,train
352,1.1420826787210303,train
353,0.5516777205429747,train
354,2.659877865565061,train
355,2.347548428730927,train
356,0.46717299408374924,train
357,-0.11147803019164228,train
358,-0.9016077213499093,train
359,-2.4011601504516658,train
360,-2.1075701671001648,train
361,-0.6470627421298374,train
362,-0.7253367354942926,train
363,-2.115227861226885,train
364,-1.031080040088684,train
365,-1.2253946835253755,train
366,-0.7882610460512186,train
367,0.38582171482579336,train
368,0.9531795851167593,train
369,-0.20395752793898408,train
370,-1.4963804301164867,train
371,-0.7159720187864647,train
372,1.2750408304763878,train
373,1.2199513348799993,train
374,0.48567164128547163,train
375,0.5313999931485921,train
376,1.9966116818954411,train
377,1.1930081110849833,train
378,1.3853132245825053,train
379,1.9992432636375548,train
380,0.2505067121147323,train
381,1.349210627006762,train
382,0.876860225644276,train
383,1.0060702297402189,train
384,1.2104257069128206,train
385,0.9212984075938102,train
386,0.21647843677577747,train
387,-0.8328177756993826,train
388,-0.8117255982979981,train
389,-0.00916063876088813,train
390,-0.19100011553192758,train
391,0.8962014431421004,train
392,1.9933822940062036,train
393,1.8380238419582449,train
394,1.081092449206617,train
395,-0.9901225020113437,train
396,-0.9702574863183344,train
397,-0.6953271185795821,train
398,-0.5558488862921507,train
399,0.8683365503859123,train
400,0.04417046225265123,train
401,0.6224089558716986,train
402,2.415486580477221,train
403,1.5686968182163696,train
404,-1.8121858300714726,train
405,-1.4872144707752997,train
406,-2.2457515391501484,train
407,-0.7322313970394736,train
408,-0.4140077650641326,train
409,-0.6047759786419198,train
410,0.3295925533716307,train
411,1.2145712104687159,train
412,1.911465854909625,train
413,1.9621522465764307,train
414,0.18948990346915967,train
415,-1.3631933953502242,train
416,-0.17338569435025078,train
417,-0.24868725793585075,train
418,-0.4596474780645132,train
419,-0.11493757639336018,train
420,1.6329677452574416,train
421,0.7837027759887915,train
422,-1.1473140683844334,train
423,-1.1793694273981836,train
424,-0.9616076885630406,train
425,-0.8423206531212526,train
426,-0.16236398218010054,train
427,0.6231056739898624,train
428,0.10716794022438299,train
429,0.4587105536953064,train
430,1.177248142310255,train
431,-0.11720150770098703,train
432,-1.1973835307833702,train
433,-1.1263795083575032,train
434,-1.4969682625187375,train
435,-1.781433134953025,train
436,-2.116746074534124,train
437,-2.558308556190316,train
438,-1.1116495750056594,train
439,0.14834580513596513,train
440,-1.2183038097942602,train
441,0.307495752471753,train
442,0.09476165667067613,train
443,-0.2692131878702796,train
444,-1.3471977092917138,train
445,-0.696832531783644,train
446,0.19494215966001058,train
447,-0.22238729215252254,train
448,-0.9901925593476348,train
449,-0.18702155438966347,train
450,0.47679886438648866,train
451,-0.03316304944955717,train
452,-0.571844278179569,train
453,0.8396462393006994,train
454,-0.6603553194800705,train
455,-0.5156475615077185,train
456,0.08555661169339276,train
457,1.4298648433447279,train
458,0.44931327508541924,train
459,0.47953070909974,train
460,0.9888675821821685,train
461,0.9632612372797248,train
462,0.772451368129145,train
463,1.6603049745705474,train
464,1.7395580386813319,train
465,0.3863765578604713,train
466,0.16332089064544064,train
467,-0.46662412270329356,train
468,0.6531190653991994,train
469,0.9824138532807941,train
470,0.05817917549547154,train
471,-0.008303123809876689,train
472,2.159856938183384,train
473,2.025708086197223,train
474,-0.3686888298907737,train
475,0.15752326957522989,train
476,0.500338053984248,train
477,2.387285173094512,train
478,1.4689981170171493,train
479,0.3827349162952494,train
480,-0.20676467509408103,train
481,-0.8993556135804643,train
482,-0.3862608711273027,train
483,-0.609238910748207,train
484,-0.9265780826212464,train
485,-0.7124197496732481,train
486,-0.4374717066717155,train
487,-0.19639120231466528,train
488,-0.12206415663117998,train
489,-0.4012808913709454,train
490,-0.713876600166292,train
491,-1.1828127094440026,train
492,-0.49756647781955404,train
493,-1.0135020595580084,train
494,-1.723289756552105,train
495,-1.8793155912452164,train
496,-1.1593837265967717,train
497,-1.4860551988704622,train
498,-1.0831644228866315,train
499,-0.52569813037958,train
500,-0.599460257815978,train
501,0.13792603584100765,train
502,0.06813381090096533,train
503,0.3490059701904973,train
504,-0.7923181812967031,train
505,-1.0105071033690762,train
506,-0.12315632668568202,train
507,0.010827016715190672,train
508,0.5617390098128955,train
509,-0.4950104066775921,train
510,-1.1148622412331362,train
511,-0.5938002413218629,train
512,-0.8117499439861943,train
513,-0.5090340005706118,train
514,-0.42187090382109127,train
515,-1.5294773914983173,train
516,-1.4027999605301553,train
517,-0.4323755132558245,train
518,-1.2310172219346316,train
519,-0.6419319443317649,train
520,0.2339255442110181,train
521,0.23980983781145718,train
522,0.5942586117639653,train
523,1.195580126224602,train
524,0.7236336090951572,train
525,1.2544523466724473,train
526,1.9017308795791494,train
527,0.3058817849870756,train
528,-0.36595221325640515,train
529,-1.1824666171283085,train
530,-1.9153189766025258,train
531,-0.8931378346968999,train
532,-2.001058646713102,train
533,-1.7374709007749474,train
534,-1.3257215980914923,train
535,0.1793475693223674,train
536,2.466283070568729,train
537,2.996664759807755,train
538,2.190218917082453,train
539,-0.7366225037133275,train
