t,y,split
0,11.397130969649075,train
1,9.600947368696607,train
2,10.46171623499776,train
3,9.72961316362118,train
4,10.000708924406872,train
5,8.811749314861874,train
6,9.0154074174731,train
7,10.783501338074247,train
8,11.26234514710032,train
9,12.471918129012256,train
10,12.391595424819974,train
11,11.665227293939177,train
12,12.360610100218844,train
13,11.617079878117847,train
14,11.614564429890375,train
15,10.331919900165017,train
16,10.136999696777497,train
17,9.253532380154835,train
18,10.591093385372448,train
19,9.206219590651964,train
20,10.372243348927197,train
21,9.925268061010978,train
22,11.291561561689521,train
23,11.396421927560104,train
24,12.622541678925753,train
25,12.048423082346103,train
26,9.412618406323986,train
27,9.20905508105145,train
28,8.316208826970291,train
29,8.758429890207376,train
30,10.848658370078512,train
31,11.388786918153848,train
32,10.136958387942888,train
33,8.758184519681661,train
34,9.214872544438396,train
35,8.49899389641251,train
36,8.60875826083762,train
37,9.544357260298957,train
38,11.141175635818469,train
39,11.39555153535383,train
40,8.420560985568574,train
41,9.112221465538731,train
42,9.567266758071304,train
43,10.548420448021318,train
44,11.886153924844598,train
45,9.030654617797788,train
46,8.65581651322141,train
47,9.617272784637269,train
48,8.59561836666474,train
49,10.70426430521915,train
50,10.779447721696583,train
51,11.510382667879853,train
52,10.047513713794444,train
53,10.725172688806154,train
54,11.385446671512227,train
55,11.118090060720455,train
56,10.69466917157771,train
57,10.480847180942094,train
58,9.369180946639263,train
59,9.415567132700536,train
60,9.499956679981613,train
61,10.247621740809974,train
62,11.184103805786684,train
63,9.656376625473815,train
64,9.539816594566465,train
65,11.088889304873703,train
66,10.107782390686946,train
67,9.176033709719833,train
68,9.485879712813231,train
69,10.71909390039694,train
70,10.578749027401209,train
71,11.58913178091898,train
72,11.657598153496918,train
73,11.754584633561075,train
74,11.31624673622809,train
75,12.91266902120756,train
76,11.357665121738837,train
77,8.571676624717686,train
78,10.340592479617419,train
79,9.903796498333506,train
80,10.314537094224079,train
81,11.2369691221793,train
82,9.2158350031603,train
83,8.179862266716663,train
84,7.167055872099786,train
85,7.8696027834714215,train
86,9.482771450866082,train
87,10.549728919415339,train
88,10.722677866821314,train
89,8.910254976548597,train
90,6.925119286830501,train
91,8.244461758243085,train
92,8.8678050866061,train
93,10.192626227150726,train
94,10.836052279159736,train
95,10.697229339306427,train
96,11.053664032477444,train
97,10.726763654958186,train
98,10.895631455683265,train
99,9.682128972725518,train
100,9.55660404012705,train
101,9.877607269497119,train
102,10.884710709262155,train
103,10.157608742022965,train
104,10.531081095022596,train
105,9.928739209856516,train
106,9.879304734242277,train
107,10.67924210405258,train
108,8.46938840396185,train
109,7.756547161899967,train
110,7.142013094396075,train
111,6.388130943263574,train
112,7.476910268702994,train
113,9.642390399680144,train
114,9.961296941407516,train
115,10.251689812030628,train
116,11.122426325961133,train
117,12.040553654876723,train
118,11.054238993647713,train
119,11.71040896841402,train
120,10.883536811757905,train
121,9.623953538103823,train
122,8.930798711035022,train
123,7.911603808967502,train
124,8.045224133067716,train
125,8.664942045915875,train
126,10.32233485041385,train
127,12.095515836370817,train
128,9.89135588913613,train
129,10.07974950838349,train
130,8.780498087185306,train
131,9.968218965446656,train
132,9.841568420642934,train
133,8.232851310278795,train
134,9.790427500853648,train
135,9.402705734378099,train
136,9.381588431411753,train
137,8.428407231843558,train
138,8.543695205026564,train
139,9.714394751295476,train
140,9.871204940474279,train
141,10.343482529929112,train
142,10.50234575301741,train
143,11.636413368570215,train
144,10.558187398631175,train
145,8.71366898929409,train
